m is 197
  i   S
-------
  0   0
  1   2
  2   3
  3   5
  4   7
  5  11
  6  13
  7  17
  8  19
  9  23
 10  29
 11  31
 12  37
 13  41
 14  43
 15  47
   i   card  C
-----------------
  93    7    9
  93    8    9
  93    9   16
  93   10   16
  93   11   16
  93   12   16
  93   13   16
  93   14   16
  93   15   16
  94    1   16
  94    2   16
  94    3   16
  94    4   11
  94    5   11
  94    6   10
  94    7   10
  94    8   16
  94    9   16
  94   10   16
  94   11   16
  94   12   16
  94   13   16
  94   14   16
  94   15   16
  95    1   16
  95    2   16
  95    3   13
  95    4   13
  95    5   10
  95    6   10
  95    7    9
  95    8    9
  95    9   16
  95   10   16
  95   11   16
  95   12   16
  95   13   16
  95   14   16
  95   15   16
  96    1   16
  96    2   16
  96    3   16
  96    4   11
  96    5   11
  96    6   10
  96    7   10
  96    8   16
  96    9   16
  96   10   16
  96   11   16
  96   12   16
  96   13   16
  96   14   16
  96   15   16
  97    1   16
  97    2   16
  97    3   12
  97    4   13
  97    5   11
  97    6   10
  97    7   10
  97    8    9
  97    9   16
  97   10   16
  97   11   16
  97   12   16
  97   13   16
  97   14   16
  97   15   16
  98    1   16
  98    2   16
  98    3   16
  98    4   12
  98    5   11
  98    6   10
  98    7   10
  98    8    9
  98    9   16
  98   10   16
  98   11   16
  98   12   16
  98   13   16
  98   14   16
  98   15   16
  99    1   16
  99    2   16
  99    3   14
  99    4   12
  99    5   10
  99    6   11
  99    7   10
  99    8   10
  99    9   16
  99   10   16
  99   11   16
  99   12   16
  99   13   16
  99   14   16
  99   15   16
 100    1   16
 100    2   16
 100    3   16
 100    4   11
 100    5   12
 100    6   10
 100    7   10
 100    8   16
 100    9    9
 100   10   16
 100   11   16
 100   12   16
 100   13   16
 100   14   16
 100   15   16
 101    1   16
 101    2   16
 101    3   13
 101    4   14
 101    5   10
 101    6   10
 101    7   10
 101    8   10
 101    9   16
 101   10   16
 101   11   16
 101   12   16
 101   13   16
 101   14   16
 101   15   16
 102    1   16
 102    2   16
 102    3   16
 102    4   11
 102    5   11
 102    6   10
 102    7   10
 102    8   16
 102    9   16
 102   10   16
 102   11   16
 102   12   16
 102   13   16
 102   14   16
 102   15   16
 103    1   16
 103    2   16
 103    3   14
 103    4   13
 103    5   11
 103    6   10
 103    7   10
 103    8   10
 103    9   16
 103   10   16
 103   11   16
 103   12   16
 103   13   16
 103   14   16
 103   15   16
 104    1   16
 104    2   16
 104    3   16
 104    4   12
 104    5   11
 104    6   10
 104    7   10
 104    8   10
 104    9   16
 104   10   16
 104   11   16
 104   12   16
 104   13   16
 104   14   16
 104   15   16
 105    1   16
 105    2   16
 105    3   15
 105    4   14
 105    5   11
 105    6   11
 105    7   10
 105    8   10
 105    9   16
 105   10   16
 105   11   16
 105   12   16
 105   13   16
 105   14   16
 105   15   16
 106    1   16
 106    2   16
 106    3   16
 106    4   12
 106    5   12
 106    6   10
 106    7   10
 106    8   11
 106    9   10
 106   10   16
 106   11   16
 106   12   16
 106   13   16
 106   14   16
 106   15   16
 107    1   16
 107    2   16
 107    3   13
 107    4   15
 107    5   11
 107    6   11
 107    7   10
 107    8   10
 107    9   16
 107   10   16
 107   11   16
 107   12   16
 107   13   16
 107   14   16
 107   15   16
 108    1   16
 108    2   16
 108    3   16
 108    4   12
 108    5   12
 108    6   10
 108    7   10
 108    8   10
 108    9   11
 108   10   16
 108   11   16
 108   12   16
 108   13   16
 108   14   16
 108   15   16
 109    1   16
 109    2   16
 109    3   13
 109    4   13
 109    5   11
 109    6   11
 109    7   10
 109    8   10
 109    9   16
 109   10   16
 109   11   16
 109   12   16
 109   13   16
 109   14   16
 109   15   16
 110    1   16
 110    2   16
 110    3   16
 110    4   12
 110    5   12
 110    6   11
 110    7   10
 110    8   10
 110    9   10
 110   10   16
 110   11   16
 110   12   16
 110   13   16
 110   14   16
 110   15   16
 111    1   16
 111    2   16
 111    3   14
 111    4   13
 111    5   11
 111    6   11
 111    7   10
 111    8   10
 111    9   16
 111   10   16
 111   11   16
 111   12   16
 111   13   16
 111   14   16
 111   15   16
 112    1   16
 112    2   16
 112    3   16
 112    4   13
 112    5   12
 112    6   10
 112    7   11
 112    8   11
 112    9   10
 112   10   16
 112   11   16
 112   12   16
 112   13   16
 112   14   16
 112   15   16
 113    1   16
 113    2   16
 113    3   14
 113    4   14
 113    5   11
 113    6   11
 113    7   10
 113    8   10
 113    9   16
 113   10   16
 113   11   16
 113   12   16
 113   13   16
 113   14   16
 113   15   16
 114    1   16
 114    2   16
 114    3   16
 114    4   12
 114    5   13
 114    6   11
 114    7   10
 114    8   10
 114    9   11
 114   10   16
 114   11   16
 114   12   16
 114   13   16
 114   14   16
 114   15   16
 115    1   16
 115    2   16
 115    3   14
 115    4   14
 115    5   11
 115    6   11
 115    7   10
 115    8   10
 115    9   16
 115   10   16
 115   11   16
 115   12   16
 115   13   16
 115   14   16
 115   15   16
 116    1   16
 116    2   16
 116    3   16
 116    4   12
 116    5   12
 116    6   11
 116    7   11
 116    8   10
 116    9   10
 116   10   16
 116   11   16
 116   12   16
 116   13   16
 116   14   16
 116   15   16
 117    1   16
 117    2   16
 117    3   15
 117    4   14
 117    5   12
 117    6   11
 117    7   10
 117    8   10
 117    9   16
 117   10   16
 117   11   16
 117   12   16
 117   13   16
 117   14   16
 117   15   16
 118    1   16
 118    2   16
 118    3   16
 118    4   13
 118    5   12
 118    6   11
 118    7   11
 118    8   11
 118    9   10
 118   10   16
 118   11   16
 118   12   16
 118   13   16
 118   14   16
 118   15   16
 119    1   16
 119    2   16
 119    3   15
 119    4   15
 119    5   11
 119    6   12
 119    7   10
 119    8   10
 119    9   16
 119   10   16
 119   11   16
 119   12   16
 119   13   16
 119   14   16
 119   15   16
 120    1   16
 120    2   16
 120    3   16
 120    4   12
 120    5   13
 120    6   11
 120    7   11
 120    8   10
 120    9   11
 120   10   16
 120   11   16
 120   12   16
 120   13   16
 120   14   16
 120   15   16
 121    1   16
 121    2   16
 121    3   14
 121    4   15
 121    5   12
 121    6   11
 121    7   11
 121    8   10
 121    9   16
 121   10   16
 121   11   16
 121   12   16
 121   13   16
 121   14   16
 121   15   16
 122    1   16
 122    2   16
 122    3   16
 122    4   13
 122    5   12
 122    6   11
 122    7   11
 122    8   10
 122    9   10
 122   10   16
 122   11   16
 122   12   16
 122   13   16
 122   14   16
 122   15   16
 123    1   16
 123    2   16
 123    3   16
 123    4   14
 123    5   12
 123    6   12
 123    7   11
 123    8   11
 123    9   16
 123   10   16
 123   11   16
 123   12   16
 123   13   16
 123   14   16
 123   15   16
 124    1   16
 124    2   16
 124    3   16
 124    4   13
 124    5   13
 124    6   11
 124    7   11
 124    8   10
 124    9   10
 124   10   16
 124   11   16
 124   12   16
 124   13   16
 124   14   16
 124   15   16
 125    1   16
 125    2   16
 125    3   15
 125    4   16
 125    5   12
 125    6   12
 125    7   11
 125    8   11
 125    9   16
 125   10   16
 125   11   16
 125   12   16
 125   13   16
 125   14   16
 125   15   16
 126    1   16
 126    2   16
 126    3   16
 126    4   13
 126    5   13
 126    6   11
 126    7   11
 126    8   11
 126    9   10
 126   10   16
 126   11   16
 126   12   16
 126   13   16
 126   14   16
 126   15   16
 127    1   16
 127    2   16
 127    3   15
 127    4   15
 127    5   12
 127    6   12
 127    7   11
 127    8   11
 127    9   10
 127   10   16
 127   11   16
 127   12   16
 127   13   16
 127   14   16
 127   15   16
 128    1   16
 128    2   16
 128    3   16
 128    4   13
